,Interactor_A_ID,Interactor_B_ID
478,STM1053,STM1055
479,STM0590,STM0592
480,STM1855,STM2066
481,STM0348,STM0759
482,STM1180,STM1968
483,STM0329,STM3909
484,STM3345,STM4391
485,STM2556,STM2860
486,STM2266,STM2563
487,STM0558,STM3151
488,STM0511,STM1107
489,STM0291,STM0859
490,STM4219.S,STM4338
491,STM1094,STM4592
492,STM0214,STM3201
493,STM0117,STM3902
494,STM2847,STM2849
495,STM1733,STM4425
496,STM1404,STM2287
497,STM1053,STM2770
498,STM0893,STM2758
499,STM2047,STM2048
500,STM2317,STM2319
501,STM0893,STM2617
502,STM0117,STM3900
503,STM0395,STM2684
504,STM0322,STM3001
505,STM1835,STM4414
506,STM3138,STM3217
507,STM3801,STM3802
508,STM1144,STM4592
509,STM0598,STM1737
510,STM3251,STM4116
511,STM0373,STM2743
512,STM0999,STM3567
513,STM2438,STM4347
514,STM2013,STM3018
515,STM0912,STM4527
516,STM4259,STM4262
517,STM0611,STM2513
518,STM1250,STM4029
519,STM1982,STM2101
520,STM2841,STM2965
521,STM1088,STM1698
522,STM0062,STM0892
523,STM2032,STM2035
524,STM0670,STM2379
525,STM1514,STM2923
526,STM4436,STM4571
527,STM3351,STM3352
528,STM0978,STM2071
529,STM0082,STM3602
530,STM1914,STM1922
531,STM1698,STM1855
532,STM0577,STM3779
533,STM1925,STM1962
534,STM1703,STM3619
535,STM0266,STM4218
536,STM3210,STM4154
537,STM3753,STM3761
538,STM1163,STM4460
539,STM1604,STM3562
540,STM2455,STM2469
541,STM2673,STM4152
542,STM0579,STM3234
543,STM2884,STM2945
544,STM0127,STM0128
545,STM4295,STM4300
546,STM0266,STM1005
547,STM1557,STM3550
548,STM2048,STM2054
549,STM3814,STM3815
550,STM1724,STM2992
551,STM1468,STM3545
552,STM1830,STM1831
553,STM1564,STM1565
554,STM2871,STM2886
555,STM0748,STM3159
556,STM2203,STM4055
557,STM2711,STM3021
558,STM3835,STM4170
559,STM0529,STM2740
560,STM1340,STM2777
561,STM1659,STM2164
562,STM2087,STM2088
563,STM3919,STM3921
564,STM0225,STM2640
565,STM2111,STM2116
566,STM1091,STM3753
567,STM3637,STM3755
568,STM2706,STM2722
569,STM0287,STM3748
570,STM1987,STM4551
571,STM0057,STM2300
572,STM2938,STM3773
573,STM2283,STM3526
574,STM2351,STM4227
575,STM0288,STM3131
576,STM0110,STM3909
577,STM3429,STM4151
578,STM1065,STM3747
579,STM4116,STM4218
580,STM1707,STM1726
581,STM1983,STM2965
582,STM0834,STM3935
583,STM2555,STM3903
584,STM2777,STM3338
585,STM0366,STM4378
586,STM2846,STM2848
587,STM0466,STM1189
588,STM4497,STM4498
589,STM1596,STM2897
590,STM1400,STM1403
591,STM2247,STM2730
592,STM1442,STM3721
593,STM0343,STM0385
594,STM1107,STM2196
595,STM0608,STM2681
596,STM1179,STM1970
597,STM0302,STM4279
598,STM1539,STM1791
599,STM1393,STM1400
600,STM1264,STM2955.S
601,STM0438,STM1630
602,STM2481,STM4586
603,STM4230,STM4232
604,STM1693,STM3619
605,STM2545,STM2674
606,STM0699,STM4214
607,STM2859,STM2924
608,STM3712,STM3977
609,STM3562,STM3564
610,STM4494,STM4498
611,STM2636,STM4417
612,STM2423,STM2772
613,STM0800,STM2878
614,STM2891,STM2895
615,STM1917,STM1970
616,STM2313,STM3259
617,STM0870,STM2564
618,STM1299,STM4007
619,STM3172,STM3377
620,STM1915,STM1922
621,STM0043,STM2313
622,STM0273,STM0289
623,STM2954.1n,STM4450
624,STM0682,STM3861
625,STM0608,STM0872
626,STM0137,STM3110
627,STM2236,STM2240
628,STM0220,STM0493
629,STM1275,STM3668
630,STM4228,STM4230
631,STM0870,STM1364
632,STM2820,STM3852
633,STM1007,STM2227
634,STM0819,STM1936
635,STM0774,STM4527
636,STM1058,STM2362
637,STM1181,STM1976
638,STM1429,STM4329
639,STM0349,STM2710
640,STM2038,STM2054
641,STM3715,STM3918
642,STM3627,STM3630
643,STM0365,STM2954
644,STM2924,STM4165
645,STM0092,STM0224
646,STM1486,STM3329
647,STM0438,STM3031
648,STM2458,STM2470
649,STM3150,STM3255
650,STM2884,STM2900
651,STM0776,STM3711
652,STM2772,STM4498
653,STM2039,STM2056
654,STM2808,STM4451
655,STM0791,STM1103
656,STM2694,STM4498
657,STM0863,STM2991
658,STM2688,STM3262
659,STM0550,STM2867
660,STM2882,STM2892
661,STM3265,STM4490
662,STM1131,STM3102
663,STM3429,STM3435
664,STM1468,STM4184
665,STM0351,STM0352.S
666,STM0448,STM3341
667,STM2304,STM3325
668,STM2066,STM2875
669,STM0696,STM2236
670,STM3319,STM3321
671,STM3715,STM3723
672,STM1080,STM2113
673,STM1960,STM2771
674,STM0357,STM4526
675,STM0347,STM3436
676,STM0774,STM0864
677,STM4522,STM4523
678,STM1896,STM2150
