,Interactor_A_ID,Interactor_B_ID,weight
685,STM2771,STM0012,623
686,STM0012,STM2774,181
687,STM2774,STM0012,181
688,STM0012,STM2841,263
689,STM2841,STM0012,263
690,STM0012,STM2849,218
691,STM2849,STM0012,218
692,STM0012,STM2876,269
693,STM2876,STM0012,269
694,STM0012,STM2886,269
695,STM2886,STM0012,269
696,STM0012,STM2907,276
697,STM2907,STM0012,276
698,STM0012,STM2909,262
699,STM2909,STM0012,262
700,STM0012,STM2936,337
701,STM2936,STM0012,337
702,STM0012,STM2945,216
703,STM2945,STM0012,216
704,STM0012,STM2952,352
705,STM2952,STM0012,352
706,STM0012,STM2985,693
707,STM2985,STM0012,693
708,STM0012,STM2995,301
709,STM2995,STM0012,301
710,STM0012,STM3039,254
711,STM3039,STM0012,254
712,STM0012,STM3069,337
713,STM3069,STM0012,337
714,STM0012,STM3070,372
715,STM3070,STM0012,372
716,STM0012,STM3181,319
717,STM3181,STM0012,319
718,STM0012,STM3199,268
719,STM3199,STM0012,268
720,STM0012,STM3219,710
721,STM3219,STM0012,710
722,STM0012,STM3269,297
723,STM3269,STM0012,297
724,STM0012,STM3282,263
725,STM3282,STM0012,263
726,STM0012,STM3299,866
727,STM3299,STM0012,866
728,STM0012,STM3305,221
729,STM3305,STM0012,221
730,STM0012,STM3325,216
731,STM3325,STM0012,216
732,STM0012,STM3359,315
733,STM3359,STM0012,315
734,STM0012,STM3420,428
735,STM3420,STM0012,428
736,STM0012,STM3433,493
737,STM3433,STM0012,493
738,STM0012,STM3435,370
739,STM3435,STM0012,370
740,STM0012,STM3438,236
741,STM3438,STM0012,236
742,STM0012,STM3443,396
743,STM3443,STM0012,396
744,STM0012,STM3445,660
745,STM3445,STM0012,660
746,STM0012,STM3446,601
747,STM3446,STM0012,601
748,STM0012,STM3453,500
749,STM3453,STM0012,500
750,STM0012,STM3455,780
751,STM3455,STM0012,780
752,STM0012,STM3472,344
753,STM3472,STM0012,344
754,STM0012,STM3503,286
755,STM3503,STM0012,286
756,STM0012,STM3536,291
757,STM3536,STM0012,291
758,STM0012,STM3568,852
759,STM3568,STM0012,852
760,STM0012,STM3613,278
761,STM3613,STM0012,278
762,STM0012,STM3616,269
763,STM3616,STM0012,269
764,STM0012,STM3701,771
765,STM3701,STM0012,771
766,STM0012,STM3721,216
767,STM3721,STM0012,216
768,STM0012,STM3731,407
769,STM3731,STM0012,407
770,STM0012,STM3808,613
771,STM3808,STM0012,613
772,STM0012,STM3813,289
773,STM3813,STM0012,289
774,STM0012,STM3835,319
775,STM3835,STM0012,319
776,STM0012,STM3838,622
777,STM3838,STM0012,622
778,STM0012,STM3865,336
779,STM3865,STM0012,336
780,STM0012,STM3867,323
781,STM3867,STM0012,323
782,STM0012,STM3870,317
783,STM3870,STM0012,317
784,STM0012,STM3943,536
785,STM3943,STM0012,536
786,STM0012,STM3958,398
787,STM3958,STM0012,398
788,STM0012,STM4123,370
789,STM4123,STM0012,370
790,STM0012,STM4146,660
791,STM4146,STM0012,660
792,STM0012,STM4149,410
793,STM4149,STM0012,410
794,STM0012,STM4225,248
795,STM4225,STM0012,248
796,STM0012,STM4234,291
797,STM4234,STM0012,291
798,STM0012,STM4246,628
799,STM4246,STM0012,628
800,STM0012,STM4248,290
801,STM4248,STM0012,290
802,STM0012,STM4329,661
803,STM4329,STM0012,661
804,STM0012,STM4330,926
805,STM4330,STM0012,926
806,STM0012,STM4342,252
807,STM4342,STM0012,252
808,STM0012,STM4343,265
809,STM4343,STM0012,265
810,STM0012,STM4360,298
811,STM4360,STM0012,298
812,STM0012,STM4361,630
813,STM4361,STM0012,630
814,STM0012,STM4371,179
815,STM4371,STM0012,179
816,STM0012,STM4397,500
817,STM4397,STM0012,500
818,STM0013,STM0046,248
819,STM0046,STM0013,248
820,STM0013,STM0048,194
821,STM0048,STM0013,194
822,STM0013,STM0051,237
823,STM0051,STM0013,237
824,STM0013,STM0131,168
825,STM0131,STM0013,168
826,STM0013,STM0132,224
827,STM0132,STM0013,224
828,STM0013,STM0133,170
829,STM0133,STM0013,170
830,STM0013,STM0141,243
831,STM0141,STM0013,243
832,STM0013,STM0186,263
833,STM0186,STM0013,263
834,STM0013,STM0195,195
835,STM0195,STM0013,195
836,STM0013,STM0216,371
837,STM0216,STM0013,371
838,STM0013,STM0221,166
839,STM0221,STM0013,166
840,STM0013,STM0224,234
841,STM0224,STM0013,234
842,STM0013,STM0229,192
843,STM0229,STM0013,192
844,STM0013,STM0272,226
845,STM0272,STM0013,226
846,STM0013,STM0431,344
847,STM0431,STM0013,344
848,STM0013,STM0433,360
849,STM0433,STM0013,360
850,STM0013,STM0450,318
851,STM0450,STM0013,318
852,STM0013,STM0483,304
853,STM0483,STM0013,304
854,STM0013,STM0487,709
855,STM0487,STM0013,709
856,STM0013,STM0488,299
857,STM0488,STM0013,299
858,STM0013,STM0536,316
859,STM0536,STM0013,316
860,STM0013,STM0614,229
861,STM0614,STM0013,229
862,STM0013,STM0659,902
863,STM0659,STM0013,902
864,STM0013,STM0661,237
865,STM0661,STM0013,237
866,STM0013,STM0670,323
867,STM0670,STM0013,323
868,STM0013,STM0681,344
869,STM0681,STM0013,344
870,STM0013,STM0940,170
871,STM0940,STM0013,170
872,STM0013,STM0945,226
873,STM0945,STM0013,226
874,STM0013,STM1060,214
875,STM1060,STM0013,214
876,STM0013,STM1112,348
877,STM1112,STM0013,348
878,STM0013,STM1116,183
879,STM1116,STM0013,183
880,STM0013,STM1221,403
881,STM1221,STM0013,403
